iter	Passed	Remaining
0	3	375
1	7	374
2	11	370
3	14	339
4	18	349
5	22	347
6	26	348
7	30	347
8	34	344
9	36	326
10	37	305
11	39	289
12	41	274
13	42	262
14	44	251
15	46	241
16	47	232
17	49	225
18	51	217
19	52	210
20	54	204
21	56	199
22	57	193
23	59	188
24	61	183
25	62	177
26	63	172
27	64	166
28	65	161
29	66	155
30	67	151
31	68	146
32	69	141
33	70	137
34	71	132
35	72	128
36	73	124
37	74	120
38	74	117
39	75	113
40	76	110
41	76	106
42	77	103
43	78	99
44	79	96
45	80	94
46	81	91
47	81	88
48	82	86
49	83	83
50	84	81
51	85	78
52	86	76
53	87	74
54	87	71
55	88	69
56	89	67
57	89	65
58	90	63
59	91	61
60	92	59
61	93	57
62	94	55
63	95	53
64	96	51
65	97	50
66	97	48
67	98	46
68	99	44
69	100	43
70	101	41
71	102	39
72	102	38
73	103	36
74	104	34
75	105	33
76	106	31
77	106	30
78	107	28
79	108	27
80	109	25
81	110	24
82	110	22
83	111	21
84	112	19
85	113	18
86	114	17
87	115	15
88	115	14
89	116	12
90	117	11
91	118	10
92	118	8
93	119	7
94	120	6
95	121	5
96	122	3
97	123	2
98	123	1
99	124	0
